Gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
Please,0.658285,0.830424,0.0,0.637051,0.73969,0.053349,0.646212,0.664743,0.069783,0.664603,0.610398,0.074425,0.682971,0.574056,0.075341,0.65117,0.633571,0.034222,0.672442,0.516188,0.032915,0.687477,0.44702,0.034534,0.697934,0.39454,0.036263,0.673719,0.634288,-8e-06,0.696559,0.501697,-0.004331,0.712219,0.419252,-0.005371,0.723153,0.360392,-0.004963,0.702213,0.646559,-0.030345,0.721305,0.515382,-0.031629,0.732208,0.434993,-0.030305,0.741856,0.374792,-0.030003,0.741257,0.668568,-0.056262,0.753665,0.562985,-0.053659,0.759229,0.498793,-0.048118,0.76393,0.445412,-0.044594
Please,0.688328,0.741341,-0.0,0.666684,0.659911,0.124435,0.664633,0.597505,0.188279,0.672885,0.546783,0.232592,0.678803,0.502739,0.276157,0.668074,0.517697,0.133769,0.679029,0.417865,0.167532,0.687858,0.362668,0.19435,0.695982,0.323891,0.213898,0.694526,0.5115,0.084388,0.704806,0.389001,0.104422,0.715755,0.327016,0.125342,0.721562,0.281766,0.144217,0.722561,0.513159,0.042422,0.731368,0.40219,0.05854,0.73603,0.337617,0.08327,0.742159,0.294801,0.103589,0.761329,0.521544,0.011022,0.764444,0.432712,0.024912,0.766711,0.380061,0.04194,0.768605,0.338936,0.057487
Please,0.692573,0.719914,-0.0,0.66183,0.652343,0.119024,0.654282,0.595046,0.18421,0.658984,0.546514,0.230858,0.663776,0.507726,0.277619,0.667295,0.500866,0.14142,0.679634,0.408144,0.17946,0.687937,0.355547,0.208335,0.693575,0.318128,0.229458,0.69597,0.493741,0.096724,0.70773,0.377635,0.123254,0.717015,0.318577,0.14912,0.719758,0.273774,0.172061,0.724672,0.494841,0.057884,0.733134,0.388008,0.078355,0.736228,0.328121,0.10645,0.740187,0.286702,0.129933,0.760562,0.503607,0.028539,0.763763,0.415846,0.043971,0.76628,0.365896,0.062466,0.768236,0.325685,0.080319
Please,0.684119,0.719908,-0.0,0.659888,0.649316,0.12247,0.656872,0.588918,0.189604,0.666012,0.540938,0.237712,0.674175,0.501437,0.28635,0.669272,0.492852,0.14571,0.685748,0.40003,0.185732,0.695894,0.348207,0.216795,0.703282,0.312298,0.239718,0.698353,0.485808,0.100724,0.716367,0.37059,0.129297,0.728811,0.313235,0.157184,0.734468,0.270081,0.181756,0.727691,0.488247,0.061934,0.741714,0.384822,0.085453,0.747724,0.326527,0.1164,0.754052,0.288182,0.141657,0.764043,0.499764,0.032769,0.771627,0.415542,0.05082,0.77582,0.366723,0.071153,0.77866,0.328159,0.090393
Please,0.690814,0.740925,-0.0,0.66465,0.667007,0.119228,0.660047,0.603392,0.182873,0.665448,0.551603,0.22726,0.66828,0.511763,0.271725,0.676729,0.514783,0.141338,0.691754,0.414633,0.177063,0.703504,0.359155,0.203098,0.712183,0.318802,0.221844,0.70399,0.510093,0.09473,0.720514,0.385326,0.120524,0.735147,0.323295,0.144872,0.742556,0.277476,0.165888,0.732632,0.512946,0.053667,0.746709,0.39724,0.076051,0.754131,0.333336,0.10293,0.762739,0.287469,0.123849,0.770984,0.524626,0.021702,0.779353,0.4314,0.040827,0.783915,0.37909,0.059989,0.788518,0.336236,0.076588
Please,0.728014,0.740617,0.0,0.70156,0.659303,0.050275,0.700417,0.579303,0.075544,0.708233,0.518115,0.090209,0.71738,0.481853,0.104226,0.712612,0.520115,0.062056,0.729254,0.409553,0.073907,0.741873,0.350449,0.081602,0.751639,0.306471,0.086856,0.73901,0.51038,0.036625,0.75677,0.390092,0.047318,0.769511,0.325163,0.051906,0.779587,0.277078,0.055195,0.768389,0.51539,0.013069,0.786487,0.397366,0.024502,0.796004,0.333876,0.02963,0.805064,0.286203,0.03138,0.806135,0.535279,-0.007089,0.82079,0.440257,0.006914,0.829172,0.387831,0.016594,0.836383,0.345276,0.022232
Please,0.768263,0.760733,0.0,0.74587,0.676529,0.051305,0.746744,0.590149,0.075774,0.758476,0.525441,0.089396,0.772611,0.484723,0.102339,0.754392,0.539068,0.054204,0.772506,0.423383,0.061857,0.78682,0.357624,0.06715,0.79857,0.308592,0.070919,0.777732,0.53296,0.026762,0.797672,0.405706,0.031358,0.813075,0.335484,0.033484,0.825467,0.283637,0.035701,0.805093,0.539566,0.0019,0.827402,0.415287,0.008243,0.839806,0.34587,0.012518,0.851829,0.294803,0.014459,0.842283,0.55875,-0.019236,0.860753,0.460809,-0.008718,0.870766,0.404481,0.000338,0.879566,0.357916,0.005913
Please,0.790058,0.780392,-0.0,0.773156,0.690016,0.123702,0.778709,0.619121,0.1866,0.794793,0.562408,0.229344,0.812,0.521383,0.271413,0.789545,0.534838,0.134548,0.815602,0.428375,0.170291,0.832268,0.369685,0.198262,0.844596,0.326749,0.217868,0.819729,0.53349,0.083242,0.846058,0.403207,0.106849,0.865308,0.335863,0.131135,0.874899,0.286543,0.1519,0.851384,0.542591,0.038672,0.877054,0.418465,0.056228,0.89092,0.346496,0.081059,0.903118,0.296545,0.100565,0.894936,0.562008,0.004282,0.914548,0.462808,0.017946,0.925501,0.404584,0.03444,0.934022,0.35782,0.049192
Please,0.777826,0.780772,-0.0,0.731691,0.700188,0.105233,0.721163,0.628003,0.166053,0.723913,0.566247,0.212038,0.72188,0.524049,0.257772,0.769531,0.534976,0.131593,0.791471,0.427777,0.172691,0.804219,0.37214,0.199191,0.812144,0.33089,0.217367,0.811544,0.534948,0.097163,0.831515,0.403641,0.134139,0.843949,0.342973,0.157873,0.849289,0.299281,0.175321,0.851202,0.546548,0.068269,0.868215,0.420903,0.101709,0.874885,0.353098,0.124094,0.881639,0.306779,0.138067,0.897417,0.572234,0.048082,0.913815,0.472011,0.074429,0.920743,0.416966,0.092802,0.925669,0.372818,0.106788
Please,0.495974,0.794566,0.0,0.479494,0.721381,0.002043,0.472804,0.636125,0.001486,0.470618,0.571082,-0.002469,0.467429,0.520044,-0.005537,0.454183,0.616165,0.005268,0.449674,0.52193,-0.012225,0.446978,0.449307,-0.026448,0.445976,0.388596,-0.03594,0.45588,0.614834,-0.006711,0.447497,0.512757,-0.023902,0.446417,0.433869,-0.038281,0.447563,0.363055,-0.047162,0.46487,0.616156,-0.019818,0.456578,0.515535,-0.035036,0.455373,0.442376,-0.043182,0.454541,0.380369,-0.046739,0.481591,0.619647,-0.033609,0.474441,0.541116,-0.044795,0.471291,0.485619,-0.04839,0.470318,0.436262,-0.049575
