Gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
one,0.495015,0.725281,0.0,0.533608,0.698829,-0.018439,0.56263,0.652494,-0.030637,0.573698,0.606617,-0.043869,0.561256,0.567748,-0.056517,0.556442,0.563022,-0.014385,0.57745,0.495229,-0.03401,0.589261,0.451314,-0.044408,0.595989,0.411752,-0.050918,0.526299,0.561613,-0.018335,0.547869,0.51688,-0.052465,0.549287,0.574921,-0.060222,0.544127,0.612804,-0.055806,0.497089,0.570929,-0.024434,0.52051,0.554003,-0.059762,0.522222,0.615161,-0.052956,0.515764,0.644652,-0.037617,0.468141,0.58751,-0.031826,0.490409,0.575844,-0.053809,0.497726,0.618524,-0.045461,0.493632,0.640021,-0.032745
one,0.49649,0.724294,0.0,0.534823,0.698462,-0.018543,0.564779,0.651617,-0.030867,0.576497,0.604476,-0.044231,0.563102,0.565795,-0.057098,0.557519,0.562756,-0.014703,0.578437,0.493782,-0.034283,0.589801,0.449198,-0.044366,0.595862,0.409631,-0.05056,0.527443,0.561452,-0.018564,0.549786,0.516086,-0.052446,0.551086,0.575094,-0.059323,0.545903,0.613108,-0.054231,0.498489,0.570571,-0.024621,0.522614,0.553333,-0.059897,0.523646,0.61477,-0.052447,0.516905,0.64466,-0.036642,0.469711,0.586963,-0.031988,0.492414,0.574937,-0.054196,0.499508,0.618242,-0.045625,0.495414,0.640896,-0.032651
one,0.495889,0.726813,0.0,0.534382,0.698822,-0.018613,0.563505,0.651302,-0.030984,0.572948,0.604894,-0.044418,0.557797,0.567424,-0.05732,0.555773,0.561078,-0.013989,0.574846,0.492752,-0.033663,0.585082,0.447841,-0.044042,0.589972,0.408188,-0.050504,0.525454,0.561367,-0.01781,0.545468,0.518947,-0.051694,0.546993,0.579549,-0.05857,0.542419,0.61742,-0.053482,0.496418,0.572003,-0.023959,0.518939,0.555238,-0.059061,0.521152,0.617331,-0.051285,0.515466,0.646799,-0.035325,0.467703,0.589631,-0.031478,0.489363,0.576432,-0.052903,0.496441,0.619438,-0.043713,0.492546,0.640881,-0.030479
one,0.492743,0.72615,0.0,0.532276,0.696787,-0.018722,0.561637,0.645708,-0.030102,0.569243,0.59529,-0.042363,0.554054,0.555971,-0.054032,0.549837,0.557078,-0.011906,0.568633,0.488252,-0.030896,0.579159,0.443891,-0.040913,0.584942,0.404638,-0.047199,0.520026,0.557015,-0.015383,0.539525,0.510091,-0.049368,0.542501,0.569776,-0.056981,0.53862,0.609396,-0.052242,0.49133,0.567809,-0.021234,0.513276,0.547068,-0.056998,0.517034,0.608951,-0.050218,0.511852,0.640464,-0.034606,0.462406,0.586363,-0.028359,0.484186,0.572495,-0.051206,0.492857,0.615685,-0.04337,0.489657,0.638356,-0.030763
one,0.494649,0.723891,0.0,0.5336,0.694596,-0.019044,0.562347,0.643317,-0.032548,0.570759,0.592614,-0.047282,0.554479,0.554041,-0.061471,0.553479,0.545345,-0.014737,0.572545,0.473174,-0.035396,0.583608,0.425935,-0.046007,0.589033,0.385097,-0.052541,0.52052,0.545629,-0.0192,0.54288,0.499205,-0.054971,0.545594,0.564943,-0.061697,0.540347,0.604294,-0.055701,0.489656,0.558079,-0.025967,0.513173,0.539984,-0.062988,0.517672,0.605832,-0.054655,0.51216,0.6368,-0.037677,0.459507,0.579593,-0.034088,0.482152,0.567458,-0.057352,0.491474,0.612317,-0.048009,0.487917,0.634521,-0.034057
one,0.495307,0.726407,0.0,0.535476,0.697017,-0.02302,0.567899,0.644293,-0.039693,0.578348,0.589045,-0.057282,0.559902,0.546728,-0.073928,0.558362,0.536576,-0.018844,0.581386,0.46243,-0.04333,0.59426,0.412119,-0.055757,0.601995,0.369161,-0.063202,0.52177,0.534669,-0.022953,0.548925,0.490372,-0.064386,0.548866,0.563588,-0.071729,0.542149,0.606668,-0.064614,0.488198,0.546407,-0.029887,0.515676,0.534944,-0.071401,0.518318,0.604427,-0.062495,0.512329,0.636668,-0.043857,0.455963,0.568748,-0.038612,0.482533,0.563559,-0.064273,0.492113,0.611302,-0.054931,0.489005,0.633975,-0.040211
one,0.494307,0.723849,0.0,0.536674,0.694258,-0.026378,0.570706,0.641147,-0.045526,0.580194,0.584548,-0.065382,0.561331,0.538189,-0.083996,0.564005,0.525948,-0.022466,0.588554,0.446513,-0.049522,0.603173,0.393049,-0.063138,0.611795,0.347812,-0.071202,0.524656,0.523902,-0.026239,0.551666,0.478947,-0.071482,0.550825,0.556391,-0.079623,0.544005,0.600811,-0.072138,0.488488,0.536057,-0.03322,0.516649,0.528215,-0.078348,0.518863,0.601387,-0.069149,0.512471,0.633328,-0.049377,0.454291,0.559073,-0.042257,0.482152,0.557019,-0.069766,0.490819,0.606255,-0.059992,0.486317,0.626905,-0.044462
one,0.495427,0.723308,0.0,0.539387,0.694986,-0.027531,0.574598,0.642657,-0.047309,0.584903,0.587401,-0.067484,0.565951,0.543219,-0.086145,0.567269,0.5195,-0.024601,0.592966,0.440224,-0.051776,0.608142,0.385708,-0.064894,0.616931,0.339744,-0.072631,0.526345,0.515312,-0.02787,0.555701,0.476029,-0.072578,0.554407,0.554546,-0.079713,0.546823,0.59824,-0.071643,0.489578,0.52691,-0.034504,0.51937,0.529657,-0.079356,0.521296,0.601864,-0.070762,0.515045,0.631247,-0.051577,0.45581,0.549649,-0.043324,0.483851,0.554307,-0.070214,0.492377,0.604557,-0.060997,0.488884,0.624185,-0.046074
one,0.495791,0.725772,0.0,0.539974,0.696355,-0.026435,0.575466,0.643122,-0.045389,0.585258,0.587019,-0.064885,0.567047,0.5408,-0.082908,0.569645,0.521841,-0.024499,0.59582,0.440068,-0.052268,0.610835,0.385226,-0.065638,0.619805,0.338117,-0.073526,0.528633,0.517727,-0.028367,0.557648,0.473388,-0.074603,0.556529,0.552961,-0.08255,0.549257,0.599144,-0.074627,0.491432,0.529361,-0.035406,0.520223,0.529075,-0.081532,0.522999,0.60304,-0.073124,0.517116,0.634342,-0.053618,0.456732,0.551915,-0.044431,0.484006,0.555102,-0.072154,0.494308,0.605871,-0.062921,0.491759,0.625833,-0.047689
one,0.498479,0.72163,0.0,0.542954,0.694688,-0.030656,0.577942,0.643053,-0.05053,0.582308,0.588885,-0.069695,0.563952,0.541781,-0.087015,0.564118,0.514912,-0.028809,0.571339,0.428556,-0.056079,0.570864,0.371986,-0.070363,0.566903,0.324053,-0.07915,0.52463,0.513939,-0.029584,0.549835,0.485725,-0.075627,0.550526,0.561039,-0.085821,0.544181,0.604555,-0.080275,0.489129,0.528356,-0.033502,0.512486,0.532156,-0.078911,0.516248,0.60213,-0.072501,0.513164,0.633417,-0.054797,0.455466,0.551526,-0.039724,0.477524,0.553038,-0.067496,0.488596,0.601953,-0.059458,0.488975,0.623298,-0.044975
